date,account,amount,currency,description,merchant,category,tags,notes
2025-07-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,July salary
2025-07-01,Savings,420,INR,Savings interest,SafeBank,Income: Interest,income|interest,
2025-07-02,Checking,-1250,INR,Milk + bread + eggs,FreshMart Grocers,Groceries,food|essentials,
2025-07-03,Checking,-180,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-07-03,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
2025-07-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities|recurring,
2025-07-05,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2025-07-05,Checking,-2500,INR,Electricity bill,City Power,Utilities,utilities|monthly,
2025-07-06,Checking,-450,INR,Water bill,City Water,Utilities,utilities|monthly,
2025-07-06,Checking,-1200,INR,Internet bill,FiberNet,Internet,internet|monthly,
2025-07-06,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2025-07-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2025-07-06,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2025-07-07,Checking,-680,INR,Lunch,Office Canteen,Eating Out,food,
2025-07-07,Checking,-90,INR,Parking,City Parking,Transport,commute,
2025-07-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2025-07-08,Checking,-620,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-07-09,Checking,-980,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2025-07-09,Checking,-1450,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-07-10,Checking,-360,INR,Coffee + snack,Bean & Brew,Eating Out,coffee,
2025-07-10,Credit Card,-2499,INR,Online shopping order,Amazon,Shopping,online,
2025-07-11,Checking,-160,INR,ATM fee,SafeBank,Fees,bank,
2025-07-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2025-07-12,Checking,-540,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-07-13,Checking,-450,INR,Metro ride,Metro Transit,Transport,commute,
2025-07-14,Checking,-1500,INR,Haircut + grooming,Urban Salon,Personal Care,personal,
2025-07-14,Checking,-850,INR,Dinner,Spice Route Restaurant,Eating Out,food|friends,
2025-07-15,Checking,6000,INR,Freelance payment,Client A,Income: Freelance,income,
2025-07-15,Checking,-2100,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2025-07-16,Checking,-1350,INR,Groceries,Daily Needs Store,Groceries,food,
2025-07-16,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-07-17,Checking,-520,INR,Bus pass top-up,City Bus,Transport,commute,
2025-07-18,Credit Card,-899,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2025-07-18,Checking,-420,INR,Taxi ride,Local Ride,Transport,commute,
2025-07-19,Checking,-650,INR,Household supplies,HomeStore,Home,home,
2025-07-20,Checking,-720,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-07-20,Checking,-550,INR,Movie tickets,CineWorld,Entertainment,fun,
2025-07-21,Checking,-3200,INR,Fuel,PetroFuel,Fuel,transport,
2025-07-21,Checking,-420,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-07-22,Checking,-2800,INR,Car service,AutoCare,Transport,maintenance,
2025-07-23,Checking,-520,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-07-23,Credit Card,-1599,INR,Shoes purchase,ShoeHub,Shopping,clothing,
2025-07-24,Checking,-1200,INR,Doctor consultation,City Clinic,Health,medical,
2025-07-24,Checking,-180,INR,Snacks,Corner Shop,Groceries,food,
2025-07-25,Checking,-1650,INR,Lunch out,Green Bowl Bistro,Eating Out,food,
2025-07-25,Checking,-399,INR,Domain renewal,NameHub,Subscriptions,recurring,
2025-07-26,Checking,-300,INR,Charity donation,Helping Hands,Donations,giving,
2025-07-27,Checking,-890,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-07-28,Credit Card,-4200,INR,Electronics accessory,TechKart,Shopping,gadgets,
2025-07-29,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-07-29,Checking,-600,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-07-30,Checking,-780,INR,Dinner,Spice Route Restaurant,Eating Out,food,
2025-07-31,Checking,-850,INR,Misc debit,SafeBank,,uncategorized,Left blank to test uncategorized

2025-08-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,August salary
2025-08-01,Savings,430,INR,Savings interest,SafeBank,Income: Interest,income|interest,
2025-08-02,Checking,-1380,INR,Groceries,FreshMart Grocers,Groceries,food|essentials,
2025-08-03,Checking,-260,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-08-03,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
2025-08-04,Checking,-199,INR,Mobile recharge,Telco Recharge,Phone,utilities|recurring,
2025-08-05,Checking,-22000,INR,Monthly rent,RentWorks,Rent,housing|monthly,
2025-08-05,Checking,-2520,INR,Electricity bill,City Power,Utilities,utilities|monthly,
2025-08-06,Checking,-460,INR,Water bill,City Water,Utilities,utilities|monthly,
2025-08-06,Checking,-1200,INR,Internet bill,FiberNet,Internet,internet|monthly,
2025-08-06,Checking,-349,INR,Music subscription,Spotify,Subscriptions,recurring|music,
2025-08-06,Checking,-799,INR,Streaming subscription,Netflix,Subscriptions,recurring|entertainment,
2025-08-06,Checking,-499,INR,Cloud storage subscription,CloudBox,Subscriptions,recurring,
2025-08-07,Checking,-690,INR,Lunch,Office Canteen,Eating Out,food,
2025-08-07,Checking,-110,INR,Parking,City Parking,Transport,commute,
2025-08-08,Checking,-1800,INR,Gas cylinder refill,HomeGas,Home,home|essentials,
2025-08-08,Checking,-680,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-08-09,Checking,-980,INR,Pharmacy purchase,HealthPlus Pharmacy,Health,medical,
2025-08-09,Checking,-1520,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-08-10,Checking,-340,INR,Coffee + snack,Bean & Brew,Eating Out,coffee,
2025-08-10,Credit Card,-2100,INR,Household items order,Amazon,Home,online,
2025-08-11,Checking,-160,INR,ATM fee,SafeBank,Fees,bank,
2025-08-12,Checking,-999,INR,Gym membership,FitZone Gym,Health,recurring|fitness,
2025-08-12,Checking,-620,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-08-13,Checking,-450,INR,Metro ride,Metro Transit,Transport,commute,
2025-08-14,Checking,-1650,INR,Haircut + grooming,Urban Salon,Personal Care,personal,
2025-08-14,Checking,-920,INR,Dinner,Spice Route Restaurant,Eating Out,food|friends,
2025-08-15,Checking,4500,INR,Cashback reward,SafeBank,Income: Cashback,income|rewards,
2025-08-15,Checking,-2500,INR,Transfer to savings,Savings Bucket,Transfers,savings,
2025-08-16,Checking,-1480,INR,Groceries,Daily Needs Store,Groceries,food,
2025-08-16,Checking,-220,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-08-17,Checking,-520,INR,Bus pass top-up,City Bus,Transport,commute,
2025-08-18,Credit Card,-1099,INR,Food delivery,DeliDash,Eating Out,delivery|food,
2025-08-18,Checking,-420,INR,Taxi ride,Local Ride,Transport,commute,
2025-08-19,Checking,-720,INR,Household supplies,HomeStore,Home,home,
2025-08-20,Checking,-780,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-08-20,Checking,-650,INR,Movie tickets,CineWorld,Entertainment,fun,
2025-08-21,Checking,-3300,INR,Fuel,PetroFuel,Fuel,transport,
2025-08-21,Checking,-360,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-08-22,Checking,-12500,INR,Flight booking,AirSwift,Travel,trip|flight,
2025-08-23,Checking,-520,INR,Groceries top-up,Daily Needs Store,Groceries,food,
2025-08-23,Credit Card,-1899,INR,Jacket purchase,StyleStreet,Shopping,clothing,
2025-08-24,Checking,-1400,INR,Medical tests,City Diagnostics,Health,medical,
2025-08-25,Checking,-1650,INR,Lunch out,Green Bowl Bistro,Eating Out,food,
2025-08-25,Checking,-1599,INR,Hotel booking,StayEasy,Travel,trip|hotel,
2025-08-26,Checking,-399,INR,App subscription,NotePro,Subscriptions,recurring,
2025-08-27,Checking,-930,INR,Groceries,FreshMart Grocers,Groceries,food,
2025-08-28,Credit Card,-3800,INR,Headphones,TechKart,Shopping,gadgets,
2025-08-29,Checking,-240,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-08-29,Checking,-620,INR,Auto rickshaw,Local Ride,Transport,commute,
2025-08-30,Checking,-980,INR,Dinner,Spice Route Restaurant,Eating Out,food,
2025-08-31,Checking,-980,INR,Misc debit,SafeBank,,uncategorized,Left blank to test uncategorized

2025-09-01,Checking,85000,INR,Salary credit,Acme Corp,Income: Salary,income|monthly,September salary
2025-09-01,Savings,440,INR,Savings interest,SafeBank,Income: Interest,income|interest,
2025-09-02,Checking,-1320,INR,Groceries,FreshMart Grocers,Groceries,food|essentials,
2025-09-03,Checking,-210,INR,Coffee,Bean & Brew,Eating Out,coffee,
2025-09-03,Checking,-320,INR,Metro card top-up,Metro Transit,Transport,commute,
